#languageTag	#level	#problem	#picture	#word_0	#word_0_loc	#word_0_voice	#word_1	#word_1_loc	#word_1_voice	#word_2	#word_2_loc	#word_2_voice	#word_3	#word_3_loc	#word_3_voice	#word_4	#word_4_loc	#word_4_voice	#word_5	#word_5_loc	#word_5_voice	#word_6	#word_6_loc	#word_6_voice
en-US	9	3	image_9_3.jpg	bee	1095.-1442	bee	wing	1231.-871	wing	antenna	249.-808	antenna	head	354.-1171	head	leg	909.-569	leg						
en-US	9	4	image_9_4.jpg	elephant	298.-1535	elephant	trunk	1209.-1244	trunk	tusk	1302.-674	tusk	back	354.-1171	back	ear	575.-674	ear						
en-US	10	1	image_10_1.jpg	cooking	713.-1513	cooking	egg	1261.-812	egg	milk	1304.-1176	milk	flour	397.-879	flour	sugar	898.-506	sugar	butter	641.-1154	butter			
en-US	10	2	image_10_2.jpg	painting	719.-1488	painting	paint	1251.-733	paint	brush	306.-733	brush	roller	367.-1090	roller	painter	1175.-1082	painter						
en-US	10	3	image_10_3.jpg	fishing	1073.-497	fishing	fish	1162.-772	fish	fishing rod	1226.-1296	fishingrod	pail	309.-1150	pail	fisher	477.-882	fisher						
en-US	10	4	image_10_4.jpg	football	294.-489	football	goal	918.-1249	goal	goalkeeper	1280.-1011	goalkeeper	kicker	530.-933	kicker	field	1101.-661	field						
en-US	11	1	image_11_1.jpg	house	1112.-1504	house	window	1245.-1120	window	door	1130.-580	door	roof	492.-1242	roof	yard	430.-606	yard						
en-US	11	2	image_11_2.jpg	yard	319.-1488	yard	tree	1256.-1272	tree	flower	680.-986	flower	fence	1256.-745	fence	tent	627.-554	tent						
en-US	11	3	image_11_3.jpg	living room	319.-1488	livingroom	table	1143.-627	table	sofa	395.-609	sofa	lamp	654.-1168	lamp	television	1281.-967	television						
en-US	11	4	image_11_4.jpg	bathroom	280.-1520	bathroom	bathtub	434.-605	bathtub	sink	934.-690	sink	soap	1094.-1035	soap	bubbles	306.-963	bubbles	towel	838.-1213	towel			
en-US	12	1	image_12_1.jpg	sky	1106.-510	sky	sun	1271.-968	sun	clouds	1044.-1283	clouds	moon	381.-858	moon	stars	309.-1283	stars						
en-US	12	2	image_12_2.jpg	space	859.-1488	space	earth	774.-599	earth	land	281.-913	land	water	382.-1213	water	moon	1317.-931	moon						
en-US	12	3	image_12_3.jpg	weather	1073.-1479	weather	rainy	520.-976	rainy	cloudy	1254.-944	cloudy	windy	1130.-445	windy	foggy	555.-466	foggy						
en-US	12	4	image_12_4.jpg	colors	1134.-1520	colors	red	849.-917	red	blue	408.-1231	blue	green	608.-448	green	yellow	1134.-709	yellow						
en-US	13	1	image_13_1.jpg	day	719.-1451	day	morning	366.-416	morning	sunrise	336.-791	sunrise	evening	1167.-416	evening	sunset	1254.-1122	sunset						
en-US	13	2	image_13_2.jpg	times of day	194.-1011	timesofday	morning	797.-1286	morning	afternoon	1331.-1140	afternoon	evening	577.-591	evening	night	1331.-608	night						
en-US	13	3	image_13_3.jpg	weather	667.-934	weather	rain	1298.-409	rain	storm	484.-426	storm	snow	704.-1462	snow	lightning	1298.-1462	lightning						
en-US	13	4	image_13_4.jpg	colors	719.-1520	colors	black	1155.-1147	black	white	628.-631	white	purple	408.-1147	purple	orange	1257.-528	orange						
en-US	14	1	image_14_1.jpg	tree	485.-1520	tree	roots	680.-566	roots	trunk	1171.-954	trunk	branches	1121.-1241	branches	leaves	355.-1168	leaves						
en-US	14	2	image_14_2.jpg	pond	297.-1520	pond	duck	1223.-879	duck	stone	702.-430	stone	grass	535.-1131	grass									
en-US	14	3	image_14_3.jpg	nature	297.-1520	nature	forest	874.-1230	forest	stream	1094.-597	stream	grass	1223.-928	grass	waterfall	389.-816	waterfall						
en-US	14	4	image_14_4.jpg	forest	319.-1488	forest	fawn	892.-536	fawn	stream	353.-853	stream	rock	1280.-871	rock	tree	1060.-1190	tree						
en-US	15	1	image_15_1.jpg	classroom	297.-1520	classroom	student	1223.-540	student	teacher	682.-852	teacher	blackboard	1003.-1303	blackboard									
en-US	15	2	image_15_2.jpg	classroom	1098.-1508	classroom	desk	1280.-567	desk	chair	751.-640	chair	book	363.-1162	book									
en-US	15	3	image_15_3.jpg	lunch	1118.-1373	lunch	plate	839.-522	plate	rice	458.-787	rice	spoon	1093.-986	spoon	cup	532.-1187	cup						
en-US	15	4	image_15_4.jpg	party	694.-1427	party	cake	1141.-568	cake	present	381.-585	present	party hat	310.-1043	partyhat	balloon	751.-972	balloon						
en-US	16	1	image_16_1.jpg	vehicles	311.-1513	vehicles	plane	531.-1250	plane	helicopter	425.-729	helicopter	truck	1318.-1317	truck	bike	1285.-516	bike						
en-US	16	2	image_16_2.jpg	vehicles	311.-1513	vehicles	bus	1280.-514	bus	car	267.-855	car	motocycle	1230.-993	motocycle	train	639.-1297	train						
en-US	16	3	image_16_3.jpg	car	297.-1427	car	mirror	1184.-1084	mirror	wheel	601.-410	wheel	door	1224.-410	door	headlight	381.-926	headlight						
en-US	16	4	image_16_4.jpg	airplane	319.-1488	airplane	engine	1280.-934	engine	wing	1083.-593	wing	cockpit	281.-999	cockpit	pilot	1004.-1263	pilot						
en-US	17	1	image_17_1.jpg	shapes	1137.-1516	shapes	circle	758.-1242	circle	triangle	1194.-899	triangle	heart	883.-1072	heart	square	612.-627	square						
en-US	17	2	image_17_2.jpg	shapes	721.-1539	shapes	diamond	1267.-1163	diamond	star	853.-452	star	oval	826.-899	oval	rectangle	367.-1116	rectangle						
en-US	17	3	image_17_3.jpg	cats	708.-1508	cats	big	882.-860	big	small	1155.-494	small	stripes	322.-1245	stripes	spots	361.-567	spots						
en-US	17	4	image_17_4.jpg	opposites	700.-1533	opposites	tall	1316.-952	tall	short	1313.-482	short	heavy	267.-1137	heavy	light	1215.-1311	light	same	440.-831	same	different	726.-482	different
en-US	18	1	image_18_1.jpg	numbers	704.-1519	numbers	one	1035.-466	one	two	303.-970	two	three	502.-466	three	four	781.-969	four	five	1282.-972	five			
en-US	18	2	image_18_2.jpg	numbers	704.-1519	numbers	six	1282.-972	six	seven	303.-970	seven	eight	781.-969	eight	nine	1035.-466	nine	ten	502.-466	ten			
en-US	18	3	image_18_3.jpg	race	280.-1520	race	first	1335.-881	first	second	748.-1165	second	third	860.-481	third	fourth	249.-1203	fourth						
en-US	18	4	image_18_4.jpg	animals	280.-1520	animals	fish	1358.-1312	fish	snake	764.-1259	snake	flamingo	905.-496	flamingo	duck	1352.-414	duck	kitten	182.-957	kitten	giraffe	573.-750	giraffe
en-US	19	1	image_19_1.jpg	clothes	280.-1520	clothes	pants	519.-906	pants	shorts	1022.-1165	shorts	skirt	1120.-420	skirt	dress	252.-620	dress						
en-US	19	2	image_19_2.jpg	clothes	280.-1520	clothes	hat	774.-734	hat	shoes	1351.-410	shoes	shirt	205.-1116	shirt	jacket	1342.-1050	jacket						
en-US	19	3	image_19_3.jpg	rainy day	280.-1520	rainyday	rainboots	400.-517	rainboots	raincoat	712.-851	raincoat	umbrella	791.-1170	umbrella									
en-US	19	4	image_19_4.jpg	washing	280.-1520	washing	washing machine	1217.-776	washingmachine	basket	273.-594	basket	laundry	436.-1026	laundry									
en-US	20	1	image_20_1.jpg	feelings	280.-1520	feelings	happy	223.-1010	happy	sad	219.-520	sad	angry	1304.-1294	angry	surprised	1321.-829	surprised						
en-US	20	2	image_20_2.jpg	feelings	280.-1520	feelings	scared	219.-520	scared	sad	1321.-829	sad	excited	223.-1010	excited	sleepy	1304.-1294	sleepy						
en-US	20	3	image_20_3.jpg	senses	280.-1520	senses	see	1098.-1245	see	hear	1327.-850	hear	smell	1270.-577	smell	taste	301.-1133	taste	touch	296.-698	touch			
#en-US	20	4	image_20_4.jpg	taste	280.-1520	taste	hot	1333.-1350	hot	cool	284.-1307	cool	sweet	243.-839	sweet	sour	1210.-926	sour						
en-US	21	1	image_21_1.jpg	food	280.-1520	food	red peper	1216.-777	redpeper	ice cream	332.-1244	icecream	lemon	339.-844	lemon	chocolate	1217.-1249	chocolate						
en-US	21	2	image_21_2.jpg	vegetables	280.-1520	vegetables	carrot	1296.-1025	carrot	eggplant	405.-592	eggplant	pepper	247.-1197	pepper	broccoli	962.-1295	broccoli						
en-US	21	3	image_21_3.jpg	tropical fruits	280.-1520	tropicalfruits	pomegranate	520.-1263	pomegranate	papaya	1325.-1082	papaya	jackfruit	1176.-475	jackfruit	guava	403.-424	guava						
en-US	21	4	image_21_4.jpg	toys	280.-1520	toys	robot	583.-529	robot	car	383.-997	car	marbles	1249.-1302	marbles	blocks	1256.-603	blocks						
en-US	22	1	image_22_1.jpg	face	280.-1520	face	eye	258.-1037	eye	nose	1239.-906	nose	mouth	298.-699	mouth									
en-US	22	2	image_22_2.jpg	face	280.-1520	face	forehead	1323.-1343	forehead	cheek	457.-1027	cheek	chin	1311.-710	chin									
en-US	22	3	image_22_3.jpg	body	280.-1520	body	head	942.-1307	head	shoulders	1055.-1064	shoulders	knees	1139.-803	knees	feet	1157.-540	feet						
en-US	22	4	image_22_4.jpg	hands	280.-1520	hands	palm	1015.-538	palm	finger	365.-975	finger	nail	1211.-1029	nail	wrist	1127.-1241	wrist						
en-US	23	1	image_23_1.jpg	playground	280.-1520	playground	slide	1096.-968	slide	swing	1311.-518	swing	seesaw	307.-513	seesaw									
en-US	23	2	image_23_2.jpg	airport	280.-1520	airport	airplane	691.-559	airplane	runway	481.-1222	runway	control tower	1058.-1162	controltower									
en-US	23	3	image_23_3.jpg	village	280.-1520	village	house	262.-1205	house	road	884.-571	road	hill	1008.-1074	hill	tree	1264.-827	tree						
en-US	23	4	image_23_4.jpg	farm	280.-1520	farm	farmer	1053.-1178	farmer	cow	242.-838	cow	milk	1381.-823	milk	pail	416.-420	pail						
en-US	24	1	image_24_1.jpg	position	280.-1520	position	on	1105.-513	on	under	412.-1288	under	in	409.-405	in	behind	1103.-1029	behind						
en-US	24	2	image_24_2.jpg	slide	280.-1520	slide	ladder	1325.-620	ladder	slope	335.-896	slope	up	955.-1073	up	down	223.-494	down						
en-US	24	3	image_24_3.jpg	letter	718.-1324	letter	envelope	358.-1038	envelope	stamp	1267.-1008	stamp	address	884.-686	address									
en-US	24	4	image_24_4.jpg	mail	280.-1520	mail	letter	1023.-1312	letter	postcard	544.-986	postcard	package	251.-592	package									
en-US	25	1	image_25_1.jpg	world	280.-1520	world	ocean	1352.-731	ocean	mountain	396.-801	mountain	desert	357.-1071	desert	lake	1244.-1369	lake						
en-US	25	2	image_25_2.jpg	opposites	280.-1520	opposites	cold	729.-1290	cold	hot	232.-1292	hot	wet	1288.-1277	wet	dry	1290.-454	dry	bright	721.-718	bright	dark	341.-479	dark
en-US	25	3	image_25_3.jpg	market	280.-1520	market	beans	1338.-1129	beans	truck	927.-567	truck	fish	309.-486	fish	basket	274.-996	basket	people	1347.-737	people			
en-US	25	4	image_25_4.jpg	city	280.-1520	city	hospital	535.-1317	hospital	bank	1201.-1289	bank	hotel	535.-520	hotel	police	1208.-513	police						
en-US	26	1	image_26_1.jpg	senses	280.-1520	senses	eyes	1213.-990	eyes	see	1224.-1438	see	nose	332.-749	nose	smell	264.-1218	smell	tongue	868.-539	tongue	taste	1295.-833	taste
en-US	26	2	image_26_2.jpg	ocean	280.-1520	ocean	turtle	1230.-809	turtle	shell	1299.-1239	shell	ray	302.-1028	ray	wings	839.-1344	wings	octopus	284.-468	octopus	eight arms	1038.-620	eightarms
en-US	26	3	image_26_3.jpg	hair	280.-1520	hair	straight	1337.-542	straight	curly	856.-537	curly	long	487.-714	long	short	176.-1143	short	black	597.-1297	black	brown	1338.-1350	brown
#en-US	26	4	image_26_4.jpg	foods	280.-1520	foods	lemon	1175.-616	lemon	watermelon	667.-603	watermelon	sour	1349.-1382	sour	sweet	991.-893	sweet	small	264.-819	small	big	532.-1196	big
